kTrial.keys,kTrial.corr,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,cur_block_file_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition,participant,session,date,expName,psychopyVersion,frameRate,kTrial.rt
,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,27,1,35,stimuli/block_02_trial_063.png,stimuli\block_02_trial_063.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,6,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,
period,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,35,1,35,stimuli/block_02_trial_071.png,stimuli\block_02_trial_071.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,5,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,1.081
slash,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,20,1,35,stimuli/block_02_trial_056.png,stimuli\block_02_trial_056.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,8,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,1.197
z,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,28,1,35,stimuli/block_02_trial_064.png,stimuli\block_02_trial_064.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,0,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.932
z,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,33,1,35,stimuli/block_02_trial_069.png,stimuli\block_02_trial_069.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,6,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,1.413
slash,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,10,1,35,stimuli/block_02_trial_046.png,stimuli\block_02_trial_046.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,0,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,1.331
slash,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,13,1,35,stimuli/block_02_trial_049.png,stimuli\block_02_trial_049.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,7,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.913
z,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,2,1,35,stimuli/block_02_trial_038.png,stimuli\block_02_trial_038.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,5,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.898
z,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,7,1,35,stimuli/block_02_trial_043.png,stimuli\block_02_trial_043.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,4,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.881
slash,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,5,1,35,stimuli/block_02_trial_041.png,stimuli\block_02_trial_041.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,5,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.864
slash,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,32,1,35,stimuli/block_02_trial_068.png,stimuli\block_02_trial_068.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,5,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.864
z,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,15,1,35,stimuli/block_02_trial_051.png,stimuli\block_02_trial_051.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,6,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,1.063
slash,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,8,1,35,stimuli/block_02_trial_044.png,stimuli\block_02_trial_044.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,6,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,1.231
,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,21,1,35,stimuli/block_02_trial_057.png,stimuli\block_02_trial_057.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,1,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,
,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,17,1,35,stimuli/block_02_trial_053.png,stimuli\block_02_trial_053.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,5,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,
,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,0,1,35,stimuli/block_02_trial_036.png,stimuli\block_02_trial_036.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,5,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,
z,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,22,1,35,stimuli/block_02_trial_058.png,stimuli\block_02_trial_058.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,6,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.947
slash,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,3,1,35,stimuli/block_02_trial_039.png,stimuli\block_02_trial_039.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,6,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.814
z,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,31,1,35,stimuli/block_02_trial_067.png,stimuli\block_02_trial_067.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,4,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.914
slash,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,11,1,35,stimuli/block_02_trial_047.png,stimuli\block_02_trial_047.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,4,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.846
z,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,9,1,35,stimuli/block_02_trial_045.png,stimuli\block_02_trial_045.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,8,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.964
slash,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,29,1,35,stimuli/block_02_trial_065.png,stimuli\block_02_trial_065.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,2,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.881
z,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,14,1,35,stimuli/block_02_trial_050.png,stimuli\block_02_trial_050.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,8,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.43
z,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,23,1,35,stimuli/block_02_trial_059.png,stimuli\block_02_trial_059.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,1,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,1.265
slash,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,12,1,35,stimuli/block_02_trial_048.png,stimuli\block_02_trial_048.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,3,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.314
slash,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,26,1,35,stimuli/block_02_trial_062.png,stimuli\block_02_trial_062.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,C,slash,3,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,1.064
z,1,1,0,3,1,1,2,tBlock02.csv,1,0,36,16,1,35,stimuli/block_02_trial_052.png,stimuli\block_02_trial_052.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,3,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,0.896
slash,0,1,0,3,1,1,2,tBlock02.csv,1,0,36,30,1,35,stimuli/block_02_trial_066.png,stimuli\block_02_trial_066.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,D,z,0,0,001,2019-07-09_23h01.54.094,popout_cindy,3.1.2,60,1.448
