linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition
stimuli/block_01_trial_000.png,stimuli\block_01_trial_000.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,R,slash,5
stimuli/block_01_trial_001.png,stimuli\block_01_trial_001.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,R,slash,1
stimuli/block_01_trial_002.png,stimuli\block_01_trial_002.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,R,slash,5
stimuli/block_01_trial_003.png,stimuli\block_01_trial_003.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,L,z,1
stimuli/block_02_trial_004.png,stimuli\block_02_trial_004.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,L,z,7
stimuli/block_02_trial_005.png,stimuli\block_02_trial_005.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,L,z,3
stimuli/block_02_trial_006.png,stimuli\block_02_trial_006.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,L,z,7
stimuli/block_02_trial_007.png,stimuli\block_02_trial_007.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",0,R,slash,7
stimuli/block_03_trial_008.png,stimuli\block_03_trial_008.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,R,slash,5
stimuli/block_03_trial_009.png,stimuli\block_03_trial_009.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,R,slash,1
stimuli/block_03_trial_010.png,stimuli\block_03_trial_010.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,L,z,3
stimuli/block_03_trial_011.png,stimuli\block_03_trial_011.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,L,z,3
