linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition
stimuli/block_01_trial_000.png,stimuli\block_01_trial_000.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,6
stimuli/block_01_trial_001.png,stimuli\block_01_trial_001.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,2
stimuli/block_01_trial_002.png,stimuli\block_01_trial_002.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,4
stimuli/block_01_trial_003.png,stimuli\block_01_trial_003.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,4
stimuli/block_01_trial_004.png,stimuli\block_01_trial_004.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,6
stimuli/block_01_trial_005.png,stimuli\block_01_trial_005.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,2
stimuli/block_01_trial_006.png,stimuli\block_01_trial_006.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,6
stimuli/block_01_trial_007.png,stimuli\block_01_trial_007.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,4
stimuli/block_01_trial_008.png,stimuli\block_01_trial_008.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,8
stimuli/block_01_trial_009.png,stimuli\block_01_trial_009.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,8
stimuli/block_01_trial_010.png,stimuli\block_01_trial_010.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,1
stimuli/block_01_trial_011.png,stimuli\block_01_trial_011.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,2
stimuli/block_01_trial_012.png,stimuli\block_01_trial_012.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,1
stimuli/block_01_trial_013.png,stimuli\block_01_trial_013.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,2
stimuli/block_01_trial_014.png,stimuli\block_01_trial_014.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,8
stimuli/block_01_trial_015.png,stimuli\block_01_trial_015.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,6
stimuli/block_01_trial_016.png,stimuli\block_01_trial_016.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,7
stimuli/block_01_trial_017.png,stimuli\block_01_trial_017.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,0
stimuli/block_01_trial_018.png,stimuli\block_01_trial_018.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,1
stimuli/block_01_trial_019.png,stimuli\block_01_trial_019.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,7
stimuli/block_01_trial_020.png,stimuli\block_01_trial_020.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,6
stimuli/block_01_trial_021.png,stimuli\block_01_trial_021.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,2
stimuli/block_01_trial_022.png,stimuli\block_01_trial_022.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,5
stimuli/block_01_trial_023.png,stimuli\block_01_trial_023.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,1
stimuli/block_01_trial_024.png,stimuli\block_01_trial_024.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,4
stimuli/block_01_trial_025.png,stimuli\block_01_trial_025.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,0
stimuli/block_01_trial_026.png,stimuli\block_01_trial_026.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,1
stimuli/block_01_trial_027.png,stimuli\block_01_trial_027.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,7
stimuli/block_01_trial_028.png,stimuli\block_01_trial_028.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,0
stimuli/block_01_trial_029.png,stimuli\block_01_trial_029.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,5
stimuli/block_01_trial_030.png,stimuli\block_01_trial_030.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,5
stimuli/block_01_trial_031.png,stimuli\block_01_trial_031.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,8
stimuli/block_01_trial_032.png,stimuli\block_01_trial_032.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,2
stimuli/block_01_trial_033.png,stimuli\block_01_trial_033.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,2
stimuli/block_01_trial_034.png,stimuli\block_01_trial_034.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,8
stimuli/block_01_trial_035.png,stimuli\block_01_trial_035.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,3
