cur_block_file_name,linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition,MyExps.thisRepN,MyExps.thisTrialN,MyExps.thisN,MyExps.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tInstr.started,tInstr.stopped,kTrial.keys,kTrial.corr,kTrial.rt,kTrial.started,kTrial.stopped,iTrial.started,iTrial.stopped,tTrial.started,tTrial.stopped,pTrial.started,pTrial.stopped,tPause.started,tPause.stopped,kPause.keys,kPause.rt,kPause.started,kPause.stopped,tEnd.started,tEnd.stopped,kEnd.keys,kEnd.rt,kEnd.started,kEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tBlock01.csv,stimuli/block_01_trial_009.png,stimuli\block_01_trial_009.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,8,0,-1,-1,0,0,0,0,0,0,0,0,9,20.596389929996803,None,slash,1,0.9551476690685377,116.15837080206256,None,116.5184227930149,None,116.5184227930149,117.11938296305016,116.15837080206256,116.57047052006237,,,,,,,,,,,,,cindy,001,2020_May_08_1954,popout_cindy,2020.1.2,59.75090778162134,
tBlock01.csv,stimuli/block_01_trial_027.png,stimuli\block_01_trial_027.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,7,0,-1,-1,0,0,0,0,0,0,1,1,27,,,slash,1,0.7654217209201306,117.15347768203355,None,117.535094890045,None,117.535094890045,None,117.15347768203355,117.56837630900554,,,,,,,,,,,,,cindy,001,2020_May_08_1954,popout_cindy,2020.1.2,59.75090778162134,
tBlock01.csv,stimuli/block_01_trial_023.png,stimuli\block_01_trial_023.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,1,0,-1,-1,0,0,0,0,0,0,2,2,23,,,z,1,0.8766151369782165,117.96687465207651,None,118.35176322504412,None,118.35176322504412,None,117.96687465207651,118.3695824710885,,,,,,,,,,,,,cindy,001,2020_May_08_1954,popout_cindy,2020.1.2,59.75090778162134,
tBlock01.csv,stimuli/block_01_trial_001.png,stimuli\block_01_trial_001.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,2,0,-1,-1,0,0,0,0,0,0,3,3,1,,,z,1,0.8990158799570054,118.88439909706358,None,119.26675434899516,None,119.26675434899516,None,118.88439909706358,119.28355914109852,,,,,,,,,,,,,cindy,001,2020_May_08_1954,popout_cindy,2020.1.2,59.75090778162134,
tBlock01.csv,stimuli/block_01_trial_030.png,stimuli\block_01_trial_030.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,5,0,-1,-1,0,0,0,0,0,0,4,4,30,,,slash,1,0.8132801230531186,119.83310852502473,None,120.21661250898615,None,120.21661250898615,None,119.83310852502473,120.23325122206006,,,,,,,,,,,,,cindy,001,2020_May_08_1954,popout_cindy,2020.1.2,59.75090778162134,
tBlock01.csv,stimuli/block_01_trial_032.png,stimuli\block_01_trial_032.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,2,0,-1,-1,0,0,0,0,0,0,5,5,32,,,slash,1,0.8141343829920515,120.68418107600883,None,121.0670846659923,None,121.0670846659923,None,120.68418107600883,121.08393246808555,,,,,,,,,,,,,cindy,001,2020_May_08_1954,popout_cindy,2020.1.2,59.75090778162134,
tBlock01.csv,stimuli/block_01_trial_002.png,stimuli\block_01_trial_002.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,4,0,-1,-1,0,0,0,0,0,0,6,6,2,,,z,1,1.2618146910099313,121.53438637207728,None,121.91743324603885,None,121.91743324603885,122.51862143399194,121.53438637207728,121.93346421408933,,,,,,,,,,,,,cindy,001,2020_May_08_1954,popout_cindy,2020.1.2,59.75090778162134,
tBlock01.csv,stimuli/block_01_trial_004.png,stimuli\block_01_trial_004.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,6,0,-1,-1,0,0,0,0,0,0,7,7,4,,,slash,1,0.9718705860432237,122.83440292498562,None,123.21783424902242,122.83440292498562,123.21783424902242,None,122.83440292498562,123.2340331110172,,,,,,,,,,,,,cindy,001,2020_May_08_1954,popout_cindy,2020.1.2,59.75090778162134,
tBlock01.csv,stimuli/block_01_trial_025.png,stimuli\block_01_trial_025.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,0,0,-1,-1,0,0,0,0,0,0,8,8,25,,,z,1,0.9306933989282697,123.84975625004154,None,124.234703404014,None,124.234703404014,123.84975625004154,123.84975625004154,124.2523101400584,,,,,,,,,,,,,cindy,001,2020_May_08_1954,popout_cindy,2020.1.2,59.75090778162134,
tBlock01.csv,stimuli/block_01_trial_028.png,stimuli\block_01_trial_028.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,0,0,-1,-1,0,0,0,0,0,0,9,9,28,,,z,1,1.1208920689532533,124.81924512702972,None,125.20094070304185,None,125.20094070304185,125.80060498102102,124.81924512702972,125.23438305698801,,,,,,,,,,,,,cindy,001,2020_May_08_1954,popout_cindy,2020.1.2,59.75090778162134,
