linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition
stimuli/block_01_trial_000.png,stimuli\block_01_trial_000.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,6
stimuli/block_01_trial_001.png,stimuli\block_01_trial_001.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,2
stimuli/block_01_trial_002.png,stimuli\block_01_trial_002.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,4
stimuli/block_01_trial_003.png,stimuli\block_01_trial_003.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,4
stimuli/block_01_trial_004.png,stimuli\block_01_trial_004.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,6
stimuli/block_01_trial_005.png,stimuli\block_01_trial_005.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,2
stimuli/block_01_trial_006.png,stimuli\block_01_trial_006.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,6
stimuli/block_01_trial_007.png,stimuli\block_01_trial_007.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,4
stimuli/block_01_trial_008.png,stimuli\block_01_trial_008.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,8
stimuli/block_01_trial_009.png,stimuli\block_01_trial_009.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,8
stimuli/block_01_trial_010.png,stimuli\block_01_trial_010.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,1
stimuli/block_01_trial_011.png,stimuli\block_01_trial_011.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,2
stimuli/block_01_trial_012.png,stimuli\block_01_trial_012.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,1
